channel_index,event_index,event_time,event_score,coda_index,coda_time,windows
0,5759,2021-11-29T08:35:27.600000,0.941,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
1,5759,2021-11-29T08:35:27.600000,0.848,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
2,5759,2021-11-29T08:35:27.600000,0.962,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
3,5759,2021-11-29T08:35:27.600000,0.974,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
4,5759,2021-11-29T08:35:27.600000,0.909,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
5,5759,2021-11-29T08:35:27.600000,0.994,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
6,5759,2021-11-29T08:35:27.600000,0.978,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
7,5759,2021-11-29T08:35:27.600000,0.994,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
8,5759,2021-11-29T08:35:27.600000,0.993,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
9,5759,2021-11-29T08:35:27.600000,0.994,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
10,5759,2021-11-29T08:35:27.600000,0.976,9600,2021-11-29T08:36:06,"[12, 13, 14, 15, 16, 17, 18, 19]"
11,5759,2021-11-29T08:35:27.600000,0.995,9600,2021-11-29T08:36:06,"[12, 13, 14, 15, 16, 17, 18, 19]"
12,5759,2021-11-29T08:35:27.600000,0.993,9600,2021-11-29T08:36:06,"[12, 13, 14, 15, 16, 17, 18, 19]"
13,5759,2021-11-29T08:35:27.600000,0.967,9600,2021-11-29T08:36:06,"[12, 13, 14, 15, 16, 17, 18, 19]"
14,5759,2021-11-29T08:35:27.600000,0.956,9600,2021-11-29T08:36:06,"[12, 13, 14, 15, 16, 17, 18, 19]"
15,5759,2021-11-29T08:35:27.600000,0.946,9600,2021-11-29T08:36:06,"[12, 13, 14, 15, 16, 17, 18, 19]"
16,5759,2021-11-29T08:35:27.600000,0.989,9600,2021-11-29T08:36:06,"[12, 13, 14, 15, 16, 17, 18, 19]"
17,5759,2021-11-29T08:35:27.600000,0.983,9600,2021-11-29T08:36:06,"[12, 13, 14, 15, 16, 17, 18, 19]"
18,5759,2021-11-29T08:35:27.600000,0.993,9600,2021-11-29T08:36:06,"[12, 13, 14, 15, 16, 17, 18, 19]"
19,5759,2021-11-29T08:35:27.600000,0.992,9600,2021-11-29T08:36:06,"[12, 13, 14, 15, 16, 17, 18, 19]"
20,5759,2021-11-29T08:35:27.600000,0.992,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
21,5759,2021-11-29T08:35:27.600000,0.986,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
22,5759,2021-11-29T08:35:27.600000,0.987,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
23,5759,2021-11-29T08:35:27.600000,0.995,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
24,5759,2021-11-29T08:35:27.600000,0.992,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
25,5759,2021-11-29T08:35:27.600000,0.976,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
26,5759,2021-11-29T08:35:27.600000,0.972,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
27,5759,2021-11-29T08:35:27.600000,0.959,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
28,5759,2021-11-29T08:35:27.600000,0.993,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
29,5759,2021-11-29T08:35:27.600000,0.99,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
30,5759,2021-11-29T08:35:27.600000,0.988,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
31,5759,2021-11-29T08:35:27.600000,0.956,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
32,5759,2021-11-29T08:35:27.600000,0.98,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
