channel_index,event_index,event_time,event_score,coda_index,coda_time,windows
0,7200,1970-01-01T00:01:12,0.992,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
1,7200,1970-01-01T00:01:12,0.982,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
2,7200,1970-01-01T00:01:12,0.961,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
3,7200,1970-01-01T00:01:12,0.998,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
4,7200,1970-01-01T00:01:12,0.667,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
5,7200,1970-01-01T00:01:12,0.667,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
6,7200,1970-01-01T00:01:12,0.975,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
7,7200,1970-01-01T00:01:12,1.0,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
8,7200,1970-01-01T00:01:12,1.0,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
9,7200,1970-01-01T00:01:12,0.999,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
10,7200,1970-01-01T00:01:12,0.977,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
11,7200,1970-01-01T00:01:12,1.0,9120,1970-01-01T00:01:31.200000,"[15, 16, 17, 18]"
12,7200,1970-01-01T00:01:12,1.0,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
13,7200,1970-01-01T00:01:12,1.0,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
14,7200,1970-01-01T00:01:12,0.984,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
15,7200,1970-01-01T00:01:12,0.955,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
16,7200,1970-01-01T00:01:12,0.822,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
17,7200,1970-01-01T00:01:12,0.999,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
18,7200,1970-01-01T00:01:12,0.998,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
19,7200,1970-01-01T00:01:12,0.994,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
20,7200,1970-01-01T00:01:12,0.667,11520,1970-01-01T00:01:55.200000,"[15, 16, 17, 18, 19, 20, 21, 22, 23]"
21,7200,1970-01-01T00:01:12,0.914,11520,1970-01-01T00:01:55.200000,"[15, 16, 17, 18, 19, 20, 21, 22, 23]"
22,7200,1970-01-01T00:01:12,0.812,11520,1970-01-01T00:01:55.200000,"[15, 16, 17, 18, 19, 20, 21, 22, 23]"
23,7200,1970-01-01T00:01:12,0.929,11520,1970-01-01T00:01:55.200000,"[15, 16, 17, 18, 19, 20, 21, 22, 23]"
24,7200,1970-01-01T00:01:12,0.939,11520,1970-01-01T00:01:55.200000,"[15, 16, 17, 18, 19, 20, 21, 22, 23]"
25,7200,1970-01-01T00:01:12,0.765,11520,1970-01-01T00:01:55.200000,"[15, 16, 17, 18, 19, 20, 21, 22, 23]"
26,7200,1970-01-01T00:01:12,0.825,11520,1970-01-01T00:01:55.200000,"[15, 16, 17, 18, 19, 20, 21, 22, 23]"
27,7200,1970-01-01T00:01:12,0.834,11520,1970-01-01T00:01:55.200000,"[15, 16, 17, 18, 19, 20, 21, 22, 23]"
28,7200,1970-01-01T00:01:12,0.96,11520,1970-01-01T00:01:55.200000,"[15, 16, 17, 18, 19, 20, 21, 22, 23]"
29,7200,1970-01-01T00:01:12,0.929,11520,1970-01-01T00:01:55.200000,"[15, 16, 17, 18, 19, 20, 21, 22, 23]"
30,7200,1970-01-01T00:01:12,0.967,11040,1970-01-01T00:01:50.400000,"[15, 16, 17, 18, 19, 20, 21, 22]"
30,14400,1970-01-01T00:02:24,0.667,14880,1970-01-01T00:02:28.800000,[30]
31,7200,1970-01-01T00:01:12,0.942,11040,1970-01-01T00:01:50.400000,"[15, 16, 17, 18, 19, 20, 21, 22]"
31,14400,1970-01-01T00:02:24,0.667,14880,1970-01-01T00:02:28.800000,[30]
32,7200,1970-01-01T00:01:12,0.979,11040,1970-01-01T00:01:50.400000,"[15, 16, 17, 18, 19, 20, 21, 22]"
32,14400,1970-01-01T00:02:24,0.667,14880,1970-01-01T00:02:28.800000,[30]
33,7200,1970-01-01T00:01:12,0.982,11040,1970-01-01T00:01:50.400000,"[15, 16, 17, 18, 19, 20, 21, 22]"
33,14400,1970-01-01T00:02:24,0.667,14880,1970-01-01T00:02:28.800000,[30]
